
[1mInitial resource allocation (minimum time criterium):[0m
  T113 --> HC1_61 [startTime: 101, endTime: 123]
  T114 --> HC1_62 [startTime: 101, endTime: 115]
  T115 --> HC2_51 [startTime: 101, endTime: 112]
  T116 --> HC2_52 [startTime: 129, endTime: 163]
  T117 --> HC2_53 [startTime: 246, endTime: 249]
  T118 --> HC2_54 [startTime: 246, endTime: 292]
  T119 --> HC2_55 [startTime: 246, endTime: 262]
  T120 --> HC1_63 [startTime: 174, endTime: 208]
  T121 --> HC1_64 [startTime: 253, endTime: 286]
  T122 --> HC2_56 [startTime: 281, endTime: 291]
  T123 --> HC2_57 [startTime: 80, endTime: 101]
  T124 --> HC2_58 [startTime: 168, endTime: 216]
  T125 --> HC1_65 [startTime: 97, endTime: 149]
  T126 --> HC2_59 [startTime: 97, endTime: 133]
  T127 --> HC2_60 [startTime: 168, endTime: 186]
  T128 --> HC1_66 [startTime: 168, endTime: 193]
  T129 --> HC1_67 [startTime: 90, endTime: 102]
  T130 --> HC1_68 [startTime: 280, endTime: 280]
  T131 --> HC2_61 [startTime: 135, endTime: 205]
  T132 --> HC1_69 [startTime: 156, endTime: 196]
  T133 --> HC2_62 [startTime: 156, endTime: 179]
  T134 --> HC2_63 [startTime: 156, endTime: 196]
  T135 --> HC1_70 [startTime: 49, endTime: 56]
  T136 --> HC2_64 [startTime: 362, endTime: 380]
  T137 --> HC1_71 [startTime: 172, endTime: 215]
  T138 --> HC1_72 [startTime: 118, endTime: 142]
  T139 --> HC2_65 [startTime: 118, endTime: 130]
  T140 --> HC2_66 [startTime: 133, endTime: 138]
  T141 --> HC2_67 [startTime: 208, endTime: 265]
  T142 --> HC2_68 [startTime: 78, endTime: 93]
  T143 --> HC1_73 [startTime: 78, endTime: 91]
  T144 --> HC2_69 [startTime: 78, endTime: 97]
  T145 --> HC2_70 [startTime: 78, endTime: 86]
  T146 --> HC2_71 [startTime: 97, endTime: 114]
  T147 --> HC1_74 [startTime: 97, endTime: 124]
  T148 --> HC2_72 [startTime: 97, endTime: 99]
  T149 --> HC1_75 [startTime: 97, endTime: 119]
  T150 --> HC1_76 [startTime: 160, endTime: 162]
  T151 --> HC2_73 [startTime: 86, endTime: 92]
  T152 --> HC1_77 [startTime: 86, endTime: 97]
  T153 --> HC2_74 [startTime: 86, endTime: 117]
  T154 --> HC2_75 [startTime: 86, endTime: 116]
  T155 --> HC1_78 [startTime: 79, endTime: 130]
  T156 --> HC1_79 [startTime: 167, endTime: 179]
  T157 --> HC1_80 [startTime: 167, endTime: 210]
  T158 --> HC1_81 [startTime: 167, endTime: 197]
  T159 --> HC2_76 [startTime: 91, endTime: 97]
  T160 --> HC1_82 [startTime: 80, endTime: 105]
  T161 --> HC2_77 [startTime: 80, endTime: 125]
  T162 --> HC1_83 [startTime: 80, endTime: 135]
  T163 --> HC1_84 [startTime: 80, endTime: 94]
  T164 --> HC1_85 [startTime: 172, endTime: 203]
  T165 --> HC2_78 [startTime: 353, endTime: 354]
  T166 --> HC1_86 [startTime: 353, endTime: 420]
  T167 --> HC1_87 [startTime: 342, endTime: 350]
  T168 --> HC1_88 [startTime: 342, endTime: 345]
  T169 --> HC2_79 [startTime: 342, endTime: 351]
  T170 --> HC2_80 [startTime: 182, endTime: 193]
  T171 --> HC1_89 [startTime: 102, endTime: 117]
  T172 --> HC2_81 [startTime: 101, endTime: 151]
  T173 --> HC1_90 [startTime: 59, endTime: 137]
  T174 --> HC2_82 [startTime: 281, endTime: 290]
  T175 --> HC1_91 [startTime: 105, endTime: 119]
  T176 --> HC2_83 [startTime: 114, endTime: 135]
  T177 --> HC2_84 [startTime: 114, endTime: 158]
  T178 --> HC2_85 [startTime: 114, endTime: 125]
  T179 --> HC2_86 [startTime: 114, endTime: 147]
  T180 --> HC2_87 [startTime: 186, endTime: 267]
  T181 --> HC2_88 [startTime: 137, endTime: 169]
  T182 --> HC1_92 [startTime: 105, endTime: 127]
  T183 --> HC1_93 [startTime: 8, endTime: 34]
  T184 --> HC2_89 [startTime: 305, endTime: 363]
  T185 --> HC1_94 [startTime: 149, endTime: 192]
  T186 --> HC2_90 [startTime: 179, endTime: 211]
  T187 --> HC2_91 [startTime: 179, endTime: 250]
  T188 --> HC1_95 [startTime: 124, endTime: 184]
  T189 --> HC2_92 [startTime: 124, endTime: 128]
  T190 --> HC2_93 [startTime: 124, endTime: 132]
  T191 --> HC2_94 [startTime: 124, endTime: 157]
  T192 --> HC1_96 [startTime: 36, endTime: 57]
  T193 --> HC1_97 [startTime: 36, endTime: 92]
  T194 --> HC1_98 [startTime: 115, endTime: 128]
  T195 --> HC2_95 [startTime: 115, endTime: 137]
  T196 --> HC1_99 [startTime: 115, endTime: 173]
  T197 --> HC1_100 [startTime: 115, endTime: 125]
  T198 --> HC2_96 [startTime: 262, endTime: 272]
  T199 --> HC2_97 [startTime: 262, endTime: 274]
Overall time: 425
Overall cost: 299252
Maximum allowable time: 150000

[1mOptimisation:[0m
There is a slower resource available for T183
Time intervals have been recomputed:
  T0 -> HC2_0 [startTime: 0, endTime: 3]
  T1 -> HC1_0 [startTime: 3, endTime: 49]
  T2 -> HC2_1 [startTime: 3, endTime: 64]
  T3 -> HC2_2 [startTime: 49, endTime: 49]
  T4 -> HC2_3 [startTime: 49, endTime: 80]
  T5 -> HC1_1 [startTime: 49, endTime: 78]
  T6 -> HC1_2 [startTime: 64, endTime: 90]
  T7 -> HC1_3 [startTime: 78, endTime: 148]
  T8 -> HC2_4 [startTime: 90, endTime: 163]
  T9 -> HC2_5 [startTime: 90, endTime: 99]
  T10 -> HC2_6 [startTime: 99, endTime: 117]
  T11 -> HC1_4 [startTime: 99, endTime: 130]
  T12 -> HC2_7 [startTime: 78, endTime: 78]
  T13 -> HC2_8 [startTime: 80, endTime: 95]
  T14 -> HC2_9 [startTime: 78, endTime: 137]
  T15 -> HC2_10 [startTime: 163, endTime: 224]
  T16 -> HC1_5 [startTime: 163, endTime: 215]
  T17 -> HC1_6 [startTime: 163, endTime: 196]
  T18 -> HC1_7 [startTime: 130, endTime: 167]
  T19 -> HC2_11 [startTime: 95, endTime: 95]
  T20 -> HC2_12 [startTime: 3, endTime: 8]
  T21 -> HC1_8 [startTime: 8, endTime: 51]
  T22 -> HC2_13 [startTime: 8, endTime: 8]
  T23 -> HC2_14 [startTime: 167, endTime: 193]
  T24 -> HC2_15 [startTime: 95, endTime: 127]
  T25 -> PP2_0 [startTime: 95, endTime: 146]
  T26 -> HC1_9 [startTime: 95, endTime: 104]
  T27 -> HC1_10 [startTime: 163, endTime: 217]
